date,draw1,draw2,draw3,draw4,draw5,powerball
2017-02-11 00:00:00 -0500,5,9,17,37,64,2
2017-02-08 00:00:00 -0500,14,20,42,49,66,5
2017-02-04 00:00:00 -0500,6,13,16,17,52,25
2017-02-01 00:00:00 -0500,9,43,57,60,64,10
2017-01-28 00:00:00 -0500,12,20,39,49,69,17
2017-01-25 00:00:00 -0500,18,28,62,66,68,22
2017-01-21 00:00:00 -0500,23,25,45,52,67,2
2017-01-18 00:00:00 -0500,9,40,41,53,58,12
2017-01-14 00:00:00 -0500,23,55,59,64,69,13
2017-01-11 00:00:00 -0500,1,3,13,16,43,24
2017-01-07 00:00:00 -0500,3,12,24,37,63,10
2017-01-04 00:00:00 -0500,16,17,29,41,42,4
2016-12-31 00:00:00 -0500,1,3,28,57,67,9
2016-12-28 00:00:00 -0500,16,23,30,44,58,4
2016-12-24 00:00:00 -0500,28,38,42,51,52,21
2016-12-21 00:00:00 -0500,25,33,40,54,68,3
2016-12-17 00:00:00 -0500,1,8,16,40,48,10
2016-12-14 00:00:00 -0500,18,26,37,39,66,15
2016-12-10 00:00:00 -0500,12,21,32,44,66,15
2016-12-07 00:00:00 -0500,41,48,49,53,64,20
2016-12-03 00:00:00 -0500,8,10,26,27,33,22
2016-11-30 00:00:00 -0500,3,14,18,25,45,7
2016-11-26 00:00:00 -0500,17,19,21,37,44,16
2016-11-23 00:00:00 -0500,7,32,41,47,61,3
2016-11-19 00:00:00 -0500,16,24,28,43,61,21
2016-11-16 00:00:00 -0500,28,41,61,63,65,7
2016-11-12 00:00:00 -0500,8,17,20,27,52,24
2016-11-09 00:00:00 -0500,1,25,28,31,54,2
2016-11-05 00:00:00 -0400,21,31,50,51,69,8
2016-11-02 00:00:00 -0400,13,18,37,54,61,5
2016-10-29 00:00:00 -0400,19,20,21,42,48,23
2016-10-26 00:00:00 -0400,2,3,16,48,56,24
2016-10-22 00:00:00 -0400,1,28,33,55,56,22
2016-10-19 00:00:00 -0400,10,16,38,43,63,23
2016-10-15 00:00:00 -0400,23,49,57,64,67,20
2016-10-12 00:00:00 -0400,16,30,34,37,44,16
2016-10-08 00:00:00 -0400,3,54,61,64,68,9
2016-10-05 00:00:00 -0400,8,18,27,29,60,15
2016-10-01 00:00:00 -0400,2,12,50,61,64,1
2016-09-28 00:00:00 -0400,30,38,52,53,62,1
2016-09-24 00:00:00 -0400,7,15,20,29,41,22
2016-09-21 00:00:00 -0400,1,28,63,67,69,17
2016-09-17 00:00:00 -0400,9,19,51,55,62,14
2016-09-14 00:00:00 -0400,10,11,23,28,31,14
2016-09-10 00:00:00 -0400,3,17,49,55,68,8
2016-09-07 00:00:00 -0400,22,23,29,33,55,21
2016-09-03 00:00:00 -0400,7,39,50,59,67,25
2016-08-31 00:00:00 -0400,5,10,24,56,61,12
2016-08-27 00:00:00 -0400,4,32,48,49,63,20
2016-08-24 00:00:00 -0400,9,11,25,64,65,16
2016-08-20 00:00:00 -0400,3,6,21,60,68,24
2016-08-17 00:00:00 -0400,33,44,49,50,52,8
2016-08-13 00:00:00 -0400,38,44,60,64,69,6
2016-08-10 00:00:00 -0400,23,56,61,64,67,12
2016-08-06 00:00:00 -0400,20,33,36,47,52,12
2016-08-03 00:00:00 -0400,9,11,27,66,67,2
2016-07-30 00:00:00 -0400,11,17,21,23,32,5
2016-07-27 00:00:00 -0400,10,47,50,65,68,24
2016-07-23 00:00:00 -0400,5,7,23,35,39,11
2016-07-20 00:00:00 -0400,6,25,35,58,66,5
2016-07-16 00:00:00 -0400,11,17,40,50,62,26
2016-07-13 00:00:00 -0400,3,15,29,54,57,10
2016-07-09 00:00:00 -0400,10,28,32,61,64,12
2016-07-06 00:00:00 -0400,2,24,31,57,66,18
2016-07-02 00:00:00 -0400,10,34,39,59,63,4
